epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6969,0.71068,2.15437,1.08277,0.75285,0.78984,0.78148,0.71907,0.46087,0.96484,0.91388,0.000277033,0.000277033,0.000277033
2,76.7661,0.64174,1.29917,1.03539,0.7544,0.85822,0.81106,0.74306,0.44647,0.78262,0.88685,0.000518089,0.000518089,0.000518089
3,113.5,0.61541,1.0892,1.02392,0.78379,0.82026,0.82632,0.7717,0.42531,0.74002,0.88976,0.000722494,0.000722494,0.000722494
4,148.146,0.59087,0.9551,1.00983,0.84803,0.87608,0.88052,0.8262,0.39878,0.60135,0.87384,0.000668066,0.000668066,0.000668066
5,184.529,0.55334,0.85666,0.99178,0.86542,0.87219,0.8886,0.83706,0.3743,0.56231,0.85987,0.000613088,0.000613088,0.000613088
6,248.63,0.39428,0.65631,0.87947,0.86998,0.87166,0.89679,0.84878,0.35531,0.54643,0.85432,0.00055811,0.00055811,0.00055811
7,284.753,0.36778,0.58908,0.86823,0.89314,0.87009,0.90425,0.85788,0.33292,0.506,0.84577,0.000503132,0.000503132,0.000503132
8,320.47,0.35217,0.54693,0.86394,0.87893,0.87523,0.90632,0.86304,0.32402,0.49137,0.84184,0.000448154,0.000448154,0.000448154
9,356.27,0.33846,0.51754,0.85521,0.90024,0.88936,0.91214,0.87497,0.30618,0.46551,0.83413,0.000393176,0.000393176,0.000393176
10,392.168,0.32515,0.48484,0.85248,0.90923,0.88639,0.91943,0.88551,0.298,0.42809,0.83405,0.000338198,0.000338198,0.000338198
11,427.96,0.30449,0.44876,0.84637,0.92793,0.89524,0.9276,0.89501,0.29319,0.40104,0.83189,0.00028322,0.00028322,0.00028322
12,463.739,0.29619,0.42257,0.84202,0.94058,0.90165,0.93243,0.90106,0.27352,0.37903,0.82496,0.000228242,0.000228242,0.000228242
13,499.582,0.28056,0.39331,0.83437,0.91919,0.90975,0.93913,0.91019,0.26322,0.36843,0.82247,0.000173264,0.000173264,0.000173264
14,535.361,0.27085,0.36943,0.83214,0.9601,0.90215,0.94684,0.92003,0.25206,0.33371,0.8194,0.000118286,0.000118286,0.000118286
15,571.077,0.26111,0.35335,0.82804,0.94311,0.91995,0.94873,0.92188,0.24645,0.32276,0.81684,6.3308e-05,6.3308e-05,6.3308e-05
